Time,Source,Destination,Protocol,Length,Original_Protocol,Predicted_Protocol,Max_Probability
25.954363,-1,-1,UDP,160,UDP,TLSv1.3,0.94
25.981111,-1,-1,QUIC,342,QUIC,TLSv1.3,0.95
25.981111,-1,-1,QUIC,992,QUIC,TLSv1.3,0.86
25.981319,-1,-1,QUIC,91,QUIC,TLSv1.3,0.89
25.981319,-1,-1,QUIC,66,QUIC,TCP,0.83
25.983309,-1,-1,QUIC,120,QUIC,TLSv1.3,0.93
26.000298,-1,-1,QUIC,162,QUIC,TLSv1.3,0.94
26.205957,-1,-1,QUIC,241,QUIC,TLSv1.3,0.96
26.211665,-1,-1,UDP,535,UDP,TLSv1.3,0.91
26.44125,-1,-1,UDP,127,UDP,TLSv1.3,0.95
31.292708,-1,-1,TLSv1.2,121,TLSv1.2,TLSv1.3,0.94
31.370026,-1,-1,TCP,54,TCP,TCP,0.96
33.11768,-1,-1,TCP,54,TCP,TCP,0.97
34.789786,-1,-1,TCP,54,TCP,TCP,0.97
34.790172,-1,-1,TCP,54,TCP,TCP,0.97
34.790215,-1,-1,TCP,54,TCP,TCP,0.97
34.790259,-1,-1,TCP,54,TCP,TCP,0.97
34.790307,-1,-1,TCP,54,TCP,TCP,0.97
34.790349,-1,-1,TCP,54,TCP,TCP,0.97
34.790393,-1,-1,TCP,54,TCP,TCP,0.97
34.790433,-1,-1,TCP,54,TCP,TCP,0.97
34.790471,-1,-1,TCP,54,TCP,TCP,0.97
34.790504,-1,-1,TCP,54,TCP,TCP,0.97
34.790535,-1,-1,TCP,54,TCP,TCP,0.97
34.790572,-1,-1,TCP,54,TCP,TCP,0.97
34.790603,-1,-1,TCP,54,TCP,TCP,0.97
35.0106,-1,-1,TCP,54,TCP,TCP,0.97
35.025015,-1,-1,TCP,54,TCP,TCP,0.97
35.025134,-1,-1,TCP,54,TCP,TCP,0.97
35.202429,-1,-1,UDP,640,UDP,TLSv1.3,0.8
35.879492,-1,-1,TCP,54,TCP,TCP,0.97
35.931193,-1,-1,TCP,54,TCP,TCP,0.97
36.102844,-1,-1,TCP,54,TCP,TCP,0.97
36.102914,-1,-1,TCP,54,TCP,TCP,0.97
36.474104,-1,-1,QUIC,981,QUIC,TLSv1.3,0.81
36.474104,-1,-1,QUIC,66,QUIC,TCP,0.88
36.478822,-1,-1,QUIC,725,QUIC,TLSv1.3,0.81
36.514439,-1,-1,QUIC,162,QUIC,TLSv1.3,0.8
36.582571,-1,-1,QUIC,918,QUIC,TLSv1.3,0.8
36.653223,-1,-1,QUIC,66,QUIC,TCP,0.88
